URL,Wilayah,Kecamatan,Luas Tanah (m2),Luas Bangunan (m2),Jumlah Kamar,Jumlah Kamar Mandi,Tingkat/Lantai,Harga Jual,Terjual/Belum,Arah Hadap Rumah,Posisi Rumah,Lebar Jalan Depan Rumah (ROW),Carport,"Siap Huni 
(Y/N)","Furnish 
(Y/N)",Watt Listrik,Dekat Pasar,Dekat Sekolah,Dekat Puskesmas/RS,Dekat Mall,Dekat Tempat Ibadah,Dekat Makam,Dekat Club House,Dekat Jalan Raya Utama,Worth-it
,Timur,Tenggilis Mejoyo,180,144,5,2,1,"Rp1,500,000,000",Belum,Selatan,Tengah,8,0,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Selatan,Sawahan,231,231,3,2,2,"Rp2,300,000,000",Belum,Selatan,Tengah,6,0,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Selatan,Sawahan,153,100,4,2,1,"Rp1,150,000,000",Belum,Utara,Tengah,6,0,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Timur,Gunung Anyar,90,84,3,2,2,"Rp1,600,000,000",Belum,Selatan,Tengah,6,0,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Timur,Sukolilo,126,126,4,3,2,"Rp1,500,000,000",Belum,Timur,Tengah,6,0,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Barat,Tandes,72,80,2,2,2,"Rp900,000,000",Belum,Selatan,Tengah,8,1,Y,N,1300,N,N,N,N,N,N,N,N,Worth-It
,Barat,Wiyung,105,200,3,1,2,"Rp1,700,000,000",Belum,Selatan,Tengah,3,2,Y,N,3500,N,N,N,N,N,N,N,N,Worth-It
,Timur,Tenggilis Mejoyo,347,347,7,3,1,"Rp2,700,000,000",Belum,Barat,Tengah,6,2,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Pusat,Tambaksari,150,150,4,3,1,"Rp1,750,000,000",Belum,Selatan,Tengah,4,2,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
,Barat,Dukuh Pakis,105,189,2,1,2,"Rp2,100,000,000",Belum,Utara,Tengah,4,1,Y,N,2200,N,N,N,N,N,N,N,N,Worth-It
